Студент: Иванов Петр Сергеевич, 1 курс, группа 101
сессия 1, Математика, 9
сессия 1, Физика, 10
сессия 3, История, зачет

Студент: Сидоров Алексей Иванович, 2 курс, группа 100
сессия 1, Математика, 3
сессия 1, Физика, 4
сессия 2, Математический анализ, 10

Студент: Петрова Анна Владимировна, 3 курс, группа 201
сессия 2, Программирование, 8
сессия 2, Базы данных, незачет

Студент: Фамилия Только п, 5 курс, группа 404
сессия 2, Программирование, 9
сессия 2, Базы данных, 9
сессия 2, ОС, 9

Студент: Фамилия1 Имя Отчество, 9 курс, группа 712
сессия 1, Программирование1, незачет
сессия 2, Базы данных1, незачет
сессия 3, предмет3, 10
сессия 4, предмет4, 9
сессия 5, предмет5, 8
